LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,Location,start_latitude,start_longitude,end_latitude,end_longitude
103000030,SINARAN DRIVE,E,8,70,999,1.3187614079491163 103.84584773223746 1.3184775003743368 103.845922903644,1.3187614079491163,103.84584773223746,1.3184775003743368,103.845922903644
103000031,SINARAN DRIVE,E,6,50,59,1.3184775003743368 103.845922903644 1.3187614079491163 103.84584773223746,1.3184775003743368,103.845922903644,1.3187614079491163,103.84584773223746
103000034,LEMBU ROAD,E,3,20,29,1.3095165181658415 103.85444503278327 1.3102490949407017 103.85489147379481,1.3095165181658415,103.85444503278327,1.3102490949407017,103.85489147379481
103000035,LEMBU ROAD,E,2,10,19,1.3102490949407017 103.85489147379481 1.3095165181658415 103.85444503278327,1.3102490949407017,103.85489147379481,1.3095165181658415,103.85444503278327
103000036,DESKER ROAD,E,6,50,59,1.3095165181658415 103.85444503278327 1.3098257335080767 103.85396567774879,1.3095165181658415,103.85444503278327,1.3098257335080767,103.85396567774879
103000040,VERDUN ROAD,D,2,10,19,1.3094817613742067 103.85571657719505 1.3100415318076366 103.85617487784177,1.3094817613742067,103.85571657719505,1.3100415318076366,103.85617487784177
103000044,SYED ALWI ROAD,E,2,10,19,1.3102490949407017 103.85489147379481 1.3094817613742067 103.85571657719505,1.3102490949407017,103.85489147379481,1.3094817613742067,103.85571657719505
103000050,ORCHARD SPRING LANE,E,3,20,29,1.3040240949630044 103.82435328722222 1.3035181120546362 103.82439062361162,1.3040240949630044,103.82435328722222,1.3035181120546362,103.82439062361162
103000051,ORCHARD SPRING LANE,E,6,50,59,1.3035181120546362 103.82439062361162 1.3040240949630044 103.82435328722222,1.3035181120546362,103.82439062361162,1.3040240949630044,103.82435328722222
103000054,KAY SIANG ROAD,E,2,10,19,1.2977954689273836 103.81184137776128 1.2979363108403927 103.81139535719257,1.2977954689273836,103.81184137776128,1.2979363108403927,103.81139535719257
103000055,KAY SIANG ROAD,E,2,10,19,1.2979363108403927 103.81139535719257 1.2977954689273836 103.81184137776128,1.2979363108403927,103.81139535719257,1.2977954689273836,103.81184137776128
103000056,MARTABAN ROAD,E,2,10,19,1.3235238431328136 103.8508428681823 1.3241924351833945 103.85149036161232,1.3235238431328136,103.8508428681823,1.3241924351833945,103.85149036161232
103000062,MARTABAN ROAD,E,2,10,19,1.3235238431328136 103.8508428681823 1.3242848802266947 103.85008775600024,1.3235238431328136,103.8508428681823,1.3242848802266947,103.85008775600024
103000063,MARTABAN ROAD,E,2,10,19,1.3242848802266947 103.85008775600024 1.3235238431328136 103.8508428681823,1.3242848802266947,103.85008775600024,1.3235238431328136,103.8508428681823
103000066,JALAN TAN TOCK SENG,E,8,70,999,1.319450709571759 103.84838600107199 1.3202305802943324 103.84823264087314,1.319450709571759,103.84838600107199,1.3202305802943324,103.84823264087314
103000067,JALAN TAN TOCK SENG,E,8,70,999,1.3202305802943324 103.84823264087314 1.319450709571759 103.84838600107199,1.3202305802943324,103.84823264087314,1.319450709571759,103.84838600107199
103000068,SOPHIA ROAD,E,7,60,69,1.3020505931348514 103.84753501033079 1.3020981998994814 103.84735684695016,1.3020505931348514,103.84753501033079,1.3020981998994814,103.84735684695016
103000072,MUSCAT STREET,E,2,10,19,1.3020478491197238 103.85929118664532 1.3024623974822258 103.85961424505442,1.3020478491197238,103.85929118664532,1.3024623974822258,103.85961424505442
103000078,PAN ISLAND EXPRESSWAY,A,8,70,999,1.3479138498233316 103.6923894384768 1.3491170726830268 103.69342360283092,1.3479138498233316,103.6923894384768,1.3491170726830268,103.69342360283092
103000079,PAN ISLAND EXPRESSWAY,A,7,60,69,1.3491170726830268 103.69342360283092 1.3479138498233316 103.6923894384768,1.3491170726830268,103.69342360283092,1.3479138498233316,103.6923894384768
